Date,sigma401k Aggressive ,Aggressive Buy and Hold 
5/1/1998,-0.015,-0.015
6/1/1998,0.037,0.037
7/1/1998,-0.010,-0.010
8/3/1998,-0.128,-0.128
9/1/1998,0.062,0.062
10/1/1998,0.002,0.069
11/2/1998,0.026,0.054
12/1/1998,0.021,0.051
1/4/1999,0.036,0.036
2/1/1999,-0.034,-0.034
3/1/1999,0.036,0.036
4/1/1999,0.034,0.034
5/3/1999,-0.025,-0.025
6/1/1999,0.049,0.049
7/1/1999,-0.029,-0.029
8/2/1999,-0.006,-0.006
9/1/1999,-0.025,-0.025
10/1/1999,0.056,0.056
11/1/1999,0.017,0.017
12/1/1999,0.050,0.050
1/3/2000,-0.046,-0.046
2/1/2000,-0.016,-0.016
3/1/2000,0.090,0.090
4/3/2000,-0.029,-0.029
5/1/2000,-0.019,-0.019
6/1/2000,0.024,0.024
7/3/2000,-0.014,-0.014
8/1/2000,0.058,0.058
9/1/2000,-0.049,-0.049
10/2/2000,-0.003,-0.003
11/1/2000,-0.070,-0.070
12/1/2000,0.007,0.007
1/2/2001,0.014,0.032
2/1/2001,-0.012,-0.081
3/1/2001,-0.022,-0.058
4/2/2001,0.009,0.067
5/1/2001,0.000,0.004
6/1/2001,-0.003,-0.022
7/2/2001,0.014,-0.007
8/1/2001,-0.002,-0.055
9/4/2001,-0.005,-0.071
10/1/2001,0.026,0.019
11/1/2001,-0.003,0.064
12/3/2001,-0.012,0.005
1/2/2002,-0.013,-0.013
2/1/2002,-0.018,-0.018
3/1/2002,0.030,0.030
4/1/2002,-0.052,-0.052
5/1/2002,-0.008,-0.008
6/3/2002,-0.063,-0.063
7/1/2002,0.001,-0.068
8/1/2002,0.023,0.007
9/3/2002,-0.006,-0.095
10/1/2002,0.011,0.076
11/1/2002,0.007,0.050
12/2/2002,0.007,-0.051
1/2/2003,-0.016,-0.026
2/3/2003,0.017,-0.012
3/3/2003,-0.005,0.007
4/1/2003,0.024,0.073
5/1/2003,0.044,0.050
6/2/2003,-0.002,0.009
7/1/2003,0.008,0.008
8/1/2003,0.016,0.016
9/2/2003,-0.006,-0.006
10/1/2003,0.046,0.046
11/3/2003,0.007,0.007
12/1/2003,0.047,0.047
1/2/2004,0.017,0.017
2/2/2004,0.013,0.013
3/1/2004,-0.014,-0.014
4/1/2004,-0.020,-0.020
5/3/2004,0.010,0.010
6/1/2004,0.018,0.018
7/1/2004,-0.030,-0.030
8/2/2004,0.005,0.005
9/1/2004,0.008,0.008
10/1/2004,0.014,0.014
11/1/2004,0.033,0.033
12/1/2004,0.031,0.031
1/3/2005,-0.022,-0.022
2/1/2005,0.015,0.015
3/1/2005,-0.017,-0.017
4/1/2005,-0.016,-0.016
5/2/2005,0.030,0.030
6/1/2005,-0.001,-0.001
7/1/2005,0.031,0.031
8/1/2005,-0.007,-0.007
9/1/2005,0.004,0.004
10/3/2005,-0.017,-0.017
11/1/2005,0.033,0.033
12/1/2005,0.001,0.001
1/3/2006,0.022,0.022
2/1/2006,0.001,0.001
3/1/2006,0.008,0.008
4/3/2006,0.009,0.009
5/1/2006,-0.027,-0.027
6/1/2006,0.000,0.000
7/3/2006,0.013,0.006
8/1/2006,0.024,0.022
9/1/2006,0.016,0.023
10/2/2006,0.029,0.029
11/1/2006,0.016,0.016
12/1/2006,0.009,0.009
1/3/2007,0.012,0.012
2/1/2007,-0.017,-0.017
3/1/2007,0.009,0.009
4/2/2007,0.039,0.039
5/1/2007,0.027,0.027
6/1/2007,-0.016,-0.016
